,,,,#454 Toxicroak,,,,,Lv.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POISON,,,FIGHTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GALACTIC GRUNT [847],HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,83,106,65,86,65,85,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,You fight him after chasing him from Pastoria City and through Route 213 and the Hotel Grand Lake,,No Item,,,Dry Skin឵ ឵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Jolly (+Spe, -SpA)",,,,,,24 IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison Jab,,,,80,100%,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Once you beat him Cynthia gives you the Secret Potion to cure the Psyducks on Route 210,Drain Punch,,,,75᠎,100%,10PP᠎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nasty Plot,,,,--,--,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sucker Punch,,,,70᠋,100%,5PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ROUTE 210 ~ NORTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#454 Toxicroak,,,,,Lv.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POISON,,,FIGHTING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA BOY FABIAN [488],HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,83,106,65,86,65,85,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Midlemost Ninja Boy hidden in the high grass. He's a member of the ninja trio,,No Item,,,Dry Skin឵ ឵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Lonely (+Atk, -Def)",,,,,,12 IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison Jab,,,,80,100%,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drain Punch,,,,75᠎,100%,10PP᠎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nasty Plot,,,,--,--,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sucker Punch,,,,70᠋,100%,5PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#291 Ninjask,,,,,Lv.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BUG,,,FLYING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA BOY BRENNAN [489],HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61,90,45,50,50,160,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leftmost Ninja Boy hidden in the high grass. He's a member of the ninja trio,,No Item,,,Speed Boost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Impish (+Def, -SpA)",,,,,,12 IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Aerial Ace,,,,60,--,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,X-Scissor,,,,80,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Baton Pass,,,,--,--,40PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Swords Dance,,,,--,--,20PP᠎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#435 Skuntank,,,,,Lv.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POISON,,,DARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA BOY BRUCE [490],HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,115᠎,95᠎,70᠎,70᠋,60᠋,85᠎,495᠎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rightmost Ninja Boy hidden in the high grass. He's a member of the ninja trio,,No Item,,,Aftermath឵ ឵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Brave (+Atk, -Spe)",,,,,,12 IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Poison Jab,,,,80,100%,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Flamethrower,,,,90᠋,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Memento,,,,--,100%,10PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Crunch,,,,80,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#123 Scyther,,,,,Lv.39,,,#327 Spinda,,,,,Lv.39,,,#042 Golbat,,,,,Lv.39,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,BUG,,,FLYING,,,,,NORMAL,,,,,,,,POISON,,,FLYING,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA  BOY JOEL [70],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,
,,,70,110,80,55,80,105,500,,75᠎,75᠎,75᠎,75᠎,75᠎,75᠎,450᠎,,75,80,70,65,75,90,455,,,,,,,,,,,,,,,,,,,,,,,,
,,Ninja Boy hidden out of the high grass,,No Item,,,Technician឵ ឵,,,,,No Item,,,Own Tempo,,,,,No Item,,,Inner Focus,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Timid (+Spe, -Atk)",,,,,,12 IV,,Bashful (Neutral),,,,,,12 IV,,"Modest (+SpA, -Atk)",,,,,,12 IV,,,,,,,,,,,,,,,,,,,,,,,,
,,,Razor Wind,,,,80,100%,10PP,,Fake Out,,,,40,100%,10PP,,Swift,,,,60,--,20PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Double Team,,,,--,--,15PP,,Zen Headbutt,,,,80,90%,15PP,,Hypnosis,,,,--,60%᠋,20PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,X-Scissor,,,,80,100%,15PP,,Psych Up,,,,--,--,10PP,,Air Slash,,,,75,95%,15PP᠋,,,,,,,,,,,,,,,,,,,,,,,,
,,,Double Hit,,,,35,90%,10PP,,Double-Edge,,,,120,100%,15PP,,Haze,,,,--,--,30PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#424 Ambipom,,,,,Lv.42,,,#121 Starmie,,,,,Lv.42,,,#389 Torterra,,,,,Lv.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NORMAL,,,,,,,,WATER,,,PSYCHIC,,,,,GRASS,,,GROUND,,,,,,,,,,,,,,,,,,,,,,,,,
,,ACE TRAINER ALYSSA [67],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,
,,,75,100,66,60,66,115,482,,60,75,85,100,85,115,520,,95,114᠎,110᠎,75,85,56,535᠎,,,,,,,,,,,,,,,,,,,,,,,,
,,Ace Trainer looking up and standing right next to the nurse,,No Item,,,Technician,,,,,No Item,,,Illuminate,,,,,No Item,,,Overgrow,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Relaxed (+Def, -Spe)",,,,,,30 IV,,Bashful (Neutral),,,,,,30 IV,,"Mild (+SpA, -Def)",,,,,,30 IV,,,,,,,,,,,,,,,,,,,,,,,,
,,,Covet,,,,60᠎,100%,25PP᠋,,Scald (!),,,,80,100%,15PP,,Earthquake,,,,100,100%,10PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fake Out,,,,40,100%,10PP,,Power Gem,,,,80᠎,100%,20PP,,Seed Bomb,,,,80,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Aerial Ace,,,,60,--,20PP,,Psychic,,,,90,100%,10PP,,Crunch,,,,80,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,U-turn,,,,70,100%,20PP,,Grass Knot,,,,--,100%,20PP,,Iron Head,,,,80,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#130 Gyarados,,,,,Lv.42,,,#472 Gliscor,,,,,Lv.42,,,#071 Victreebel,,,,,Lv.42,,,#157 Typhlosion,,,,,Lv.42,,,#217 Ursaring,,,,,Lv.42,,,#181 Ampharos,,,,,Lv.42
,,,,,WATER,,,FLYING,,,,,GROUND,,,FLYING,,,,,GRASS,,,POISON,,,,,FIRE,,,,,,,,NORMAL,,,,,,,,ELECTRIC,,,DRAGON឵ ឵,
,,DOUBLE TEAM ZAC & JEN [75],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total
,,,95,125,79,60,100,81,540,,75,95,125,45,75,95,510,,80,105,65,100,70᠎,70,490᠎,,78,79᠋,73᠋,124᠎,80᠋,101᠎,535᠎,,90,130,75,75,75,55,500,,90,75,85᠎,115,90,55,510᠎
,,Double battle against them.,,No Item,,,Intimidate,,,,,No Item,,,Poison Heal឵ (!),,,,,No Item,,,Chlorophyll,,,,,No Item,,,Adaptability (!),,,,,No Item,,,Guts,,,,,No Item,,,Static,,
,,,"Impish (+Def, -SpA)",,,,,,30 IV,,"Impish (+Def, -SpA)",,,,,,30 IV,,"Relaxed (+Def, -Spe)",,,,,,30 IV,,Hardy (Neutral),,,,,,30 IV,,"Jolly (+Spe, -SpA)",,,,,,30 IV,,"Quiet (+SpA, -Spe)",,,,,,30 IV
,,,Aqua Tail,,,,90,90%,10PP,,Earthquake,,,,100,100%,10PP,,Leaf Blade,,,,90,100%,15PP,,Lava Plume,,,,80,100%,15PP,,Thrash,,,,120᠎,100%,10PP᠋,,Thunderbolt,,,,90᠋,100%,15PP
,,,Ice Fang,,,,65,95%,15PP,,X-Scissor,,,,80,100%,15PP,,Sludge Bomb,,,,90,100%,10PP,,Thunder Punch,,,,75,100%,15PP,,Shadow Claw,,,,80᠎,100%,15PP,,Dragon Pulse,,,,85᠋,100%,10PP
,,,Crunch,,,,80,100%,15PP,,Sky Uppercut,,,,85,90%,15PP,,,,,,,,,,Earth Power,,,,90,100%,10PP,,,,,,,,,,Signal Beam,,,,75,100%,15PP
,,(WALKING TOGETHER IN CIRCLES),Bounce,,,,85,85%,5PP,,Aerial Ace,,,,60,--,20PP,,,,,,,,,,,,,,,,,,,,,,,,,,Power Gem,,,,80᠎,100%,20PP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#186 Politoed,,,,,Lv.41,,,#127 Pinsir,,,,,Lv.41,,,#476 Probopass,,,,,Lv.41,,,#178 Xatu,,,,,Lv.41,,,,,,,,,,,,,,,,
,,,,,WATER,,,,,,,,BUG,,,,,,,,ROCK,,,STEEL,,,,,PSYCHIC,,,FLYING,,,,,,,,,,,,,,,,,
,,ACE TRAINER ERNEST [66],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,
,,,90,75,75,90,100,70,500,,65,125,100,55,70,85,500,,60,45᠋,145,85᠎,150,40,525,,65,75,70,95,70,95,470,,,,,,,,,,,,,,,,
,,Ace Trainer standing above the double team Zac & Jen,,No Item,,,Drizzle (!),,,,,No Item,,,Hyper Cutter,,,,,No Item,,,Sturdy,,,,,No Item,,,Synchronize,,,,,,,,,,,,,,,,,,
,,,"Lax (+Def, -SpD)",,,,,,30 IV,,"Jolly (+Spe, -SpA)",,,,,,30 IV,,"Careful (+SpD, -SpA)",,,,,,30 IV,,"Bold (+Def, -Atk)",,,,,,30 IV,,,,,,,,,,,,,,,,
,,,Scald (!),,,,80,100%,15PP,,Megahorn,,,,120,85%,10PP,,Thunderbolt,,,,90᠋,100%,15PP,,Psychic,,,,90,100%,10PP,,,,,,,,,,,,,,,,
,,,Icy Wind,,,,55,95%,15PP,,Close Combat,,,,120,100%,5PP,,Flash Cannon,,,,80,100%,10PP,,Air Slash,,,,75,95%,15PP᠋,,,,,,,,,,,,,,,,
,,,Hypnosis,,,,--,60%᠋,20PP,,Knock Off,,,,65᠎,100%,20PP,,Earth Power,,,,90,100%,10PP,,Giga Drain,,,,75᠎,100%,10PP,,,,,,,,,,,,,,,,
,,(LOOKS UP AND RIGHT),Psychic,,,,90,100%,10PP,,,,,,,,,,Power Gem,,,,80᠎,100%,20PP,,Confuse Ray,,,,--,100%,10PP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#038 Ninetales,,,,,Lv.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FIRE,,,FAIRY឵ ឵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA BOY DAVIDO [72],HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,73,67᠋,75,81,100,109᠎,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ninja Boy hiding in dirt on the platform after the tight plank going left after Ace Trainer Ernest.,,No Item,,,Drought (!),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Modest (+SpA, -Atk)",,,,,,12 IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Flamethrower,,,,90᠋,100%,15PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quick Attack,,,,40,100%,30PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Confuse Ray,,,,--,100%,10PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Safeguard,,,,--,--,25PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#444 Gabite,,,,,Lv.41,,,#372 Shelgon,,,,,Lv.41,,,#329 Vibrava,,,,,Lv.41,,,#148 Dragonair,,,,,Lv.41,,,,,,,,,,,,,,,,
,,,,,DRAGON,,,GROUND,,,,,DRAGON,,,,,,,,BUG឵ ឵,,,DRAGON,,,,,DRAGON,,,,,,,,,,,,,,,,,,,,
,,DRAGON TAMER PATRICK [73],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,
,,,68,90,65,50,55,82,410,,65,95,100,60,50,50,420,,60᠎,80᠎,55᠎,90᠎,55᠎,70,410᠎,,61,84,65,70,70,70,420,,,,,,,,,,,,,,,,
,,Dragon Tamer standing on the platform after the plank going south after Ninja Boy Davido,,No Item,,,Rough Skin (!),,,,,No Item,,,Rock Head,,,,,No Item,,,Compoundeyes (!),,,,,No Item,,,Marvel Scale (!),,,,,,,,,,,,,,,,,,
,,,"Rash (+SpA, -SpD)",,,,,,24 IV,,Serious (Neutral),,,,,,24 IV,,"Hasty (+Spe, -Def)",,,,,,12 IV,,"Hasty (+Spe, -Def)",,,,,,12 IV,,,,,,,,,,,,,,,,
,,,Slash,,,,70,100%,20PP,,Protect,,,,--,--,10PP,,Dragon Breath,,,,60,100%,20PP,,Aqua Tail,,,,90,90%,10PP,,,,,,,,,,,,,,,,
,,,Dragon Claw,,,,80,100%,15PP,,Scary Face,,,,--,100%᠎,10PP,,Earth Power,,,,90,100%,10PP,,Safeguard,,,,--,--,25PP,,,,,,,,,,,,,,,,
,,He's guarding the TM88s Hurricane,Scary Face,,,,--,100%᠎,10PP,,Dragon Dance,,,,--,--,20PP,,Sandstorm,,,,--,--,10PP,,Dragon Rush,,,,100,75%,10PP,,,,,,,,,,,,,,,,
,,,Rock Slide,,,,75,90%,10PP,,Flamethrower,,,,90᠋,100%,15PP,,Earthquake,,,,100,100%,10PP,,Dragon Dance,,,,--,--,20PP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#068 Machamp,,,,,Lv.42,,,#257 Blaziken,,,,,Lv.42,,,#214 Heracross,,,,,Lv.42,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FIGHTING,,,,,,,,FIRE,,,FIGHTING,,,,,BUG,,,FIGHTING,,,,,,,,,,,,,,,,,,,,,,,,,
,,BLACK BELT ADAM [69],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,
,,,90,130,80,65,85,55,505,,80,120,75᠎,110,70,80,535᠎,,80,125,75,40,95,85,500,,,,,,,,,,,,,,,,,,,,,,,,
,,Black Belt standing right after the bridge and looks to the right.,,No Item,,,Guts,,,,,No Item,,,Speed Boost (!),,,,,No Item,,,Guts ឵,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Rash (+SpA, -SpD)",,,,,,24 IV,,"Lax (+Def, -SpD)",,,,,,24 IV,,"Lonely (+Atk, -Def)",,,,,,24 IV,,,,,,,,,,,,,,,,,,,,,,,,
,,,Payback,,,,50,100%,10PP,,Flamethrower,,,,90᠋,100%,15PP,,Pin Missile,,,,25᠎,95%᠎,20PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Counter,,,,--,100%,20PP,,Blaze Kick,,,,90᠎,100%᠎,10PP,,Knock Off,,,,65᠎,100%,20PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Bulk Up,,,,--,--,20PP,,Slash,,,,70,100%,20PP,,Megahorn,,,,120,85%,10PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cross Chop,,,,100,80%,5PP,,Night Slash,,,,70,100%,15PP,,Take Down,,,,90,85%,20PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,#317 Swalot,,,,,Lv.39,,,#269 Dustox,,,,,Lv.39,,,#414 Mothim,,,,,Lv.39,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,POISON,,,,,,,,BUG,,,POISON,,,,,BUG,,,FLYING,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA BOY NATHAN [71],HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,HP,Atk,Def,SpA,SpD,Spe,Total,,,,,,,,,,,,,,,,,,,,,,,,
,,,100,73,83,73,83,55,467,,60,50,75᠎,75᠎,115᠎,75᠎,450᠎,,70,70᠋,50,110᠎,50,100᠎,450᠎,,,,,,,,,,,,,,,,,,,,,,,,
,,Ninja Boy hiding in short grass under the bridge. He guards a Smoke Ball,,No Item,,,Liquid Ooze,,,,,No Item,,,Shield Dust,,,,,No Item,,,Tinted Lens (!),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Brave (+Atk, -Spe)",,,,,,12 IV,,"Jolly (+Spe, -SpA)",,,,,,12 IV,,"Jolly (+Spe, -SpA)",,,,,,12 IV,,,,,,,,,,,,,,,,,,,,,,,,
,,,Spit Up,,,,--,100%,10PP,,Light Screen,,,,--,--,30PP,,Poison Powder,,,,--,75%,35PP,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stockpile,,,,--,--,20PP,,Toxic,,,,--,90%᠎,10PP,,Air Cutter,,,,60᠎,95%,25PP,,,,,,,,,,,,,,,,,,,,,,,,
